# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1491
#@/user_id	29f50511-2ff1-467a-b4e1-0cf2271c2eee
a 	啊	c=5 d=1.24199 t=1491
miao 	苗	c=1 d=1 t=1053
ming 	名	c=0 d=0.1 t=606
ming ling hang 	命令行	c=2 d=1.99005 t=1075
ming ming 	命名	c=1 d=1 t=1296
ming tian 	明天	c=1 d=1 t=512
mo bai 	膜拜	c=1 d=1 t=134
mo guang 	膜光	c=1 d=1 t=574
mo kuai 	模塊	c=1 d=1 t=837
mo shou 	魔獸	c=1 d=1 t=120
mo yu 	摸魚	c=1 d=1 t=1455
mou 	哞	c=1 d=1 t=625
mu lu 	目錄	c=4 d=3.11024 t=616
mu lu ming 	目錄名	c=1 d=1 t=607
na 	那	c=0 d=0.1 t=983
na ge 	那個	c=2 d=1.12185 t=1144
na guo 	哪國	c=1 d=1 t=450
na ke zhen shi 	那可真是	c=1 d=1 t=984
na lai 	拿來	c=0 d=0.1 t=1086
na lai dang 	拿來當	c=1 d=1 t=1087
na shi 	那是	c=1 d=1 t=174
na zhong 	那種	c=1 d=1 t=1024
nai 	奈	c=0 d=0.1 t=970
nai bu song 	奈不送	c=1 d=1 t=971
nan hai zi 	男孩子	c=2 d=1.92312 t=883
nan ren 	男人	c=2 d=1.36788 t=1070
nao ke 	腦殼	c=1 d=1 t=704
ne 	呢	c=5 d=1.24285 t=1446
nei zhi 	內置	c=1 d=1 t=606
neng 	能	c=0 d=0.1 t=763
neng ba 	能把	c=1 d=1 t=695
neng he 	能和	c=1 d=1 t=748
neng li 	能力	c=2 d=1.50916 t=821
neng yong 	能用	c=0 d=0.1 t=1346
ni 	你	c=3 d=0.410168 t=1346
ni 	児	c=0 d=0.1 t=454
ni bu 	你不	c=0 d=0.1 t=717
ni bu kao lv 	你不考慮	c=1 d=1 t=718
ni cai shi 	你纔是	c=1 d=1 t=869
ni hao 	你好	c=1 d=1.09501 t=39
ni hao wa 	你好哇	c=3 d=1.0499 t=1080
ni hao wa 	児好哇	c=1 d=1 t=455
ni heng ji 	你哼唧	c=1 d=1 t=712
ni jiu 	你就	c=1 d=1 t=852
ni kan 	你看	c=2 d=1.67706 t=874
ni men 	你們	c=2 d=1.10125 t=1207
ni neng yong 	你能用	c=1 d=1 t=1347
ni qu 	你去	c=1 d=1 t=828
ni she ji guo 	你設計過	c=1 d=1 t=849
ni shi 	你是	c=1 d=1 t=560
ni xian zai 	你現在	c=1 d=1 t=1230
ni zhi dao 	你知道	c=1 d=1 t=1100
nian ling duan 	年齡段	c=1 d=1 t=674
niang 	娘	c=1 d=1 t=1352
niao 	尿	c=5 d=3.79569 t=534
nin 	您	c=0 d=0.1 t=389
nv hai zi 	女孩子	c=1 d=1 t=1389
nv sheng 	女生	c=1 d=1 t=676
nv tong xue 	女同學	c=1 d=1 t=537
nv zi 	女子	c=1 d=1 t=1379
ou 	偶	c=1 d=1 t=577
pa zhi 	啪之	c=1 d=1 t=1064
pai ban 	排版	c=1 d=1 t=37
pai zhao 	拍照	c=0 d=0.1 t=1121
pan duan 	判斷	c=2 d=1.97482 t=603
pei yang 	培養	c=0 d=0.1 t=290
pei yang xi guan 	培養習慣	c=1 d=1 t=291
pei yu 	培育	c=2 d=1.85642 t=1268
pi pei 	匹配	c=1 d=1 t=487
pian duan 	片段	c=1 d=1 t=662
pin yin 	拼音	c=1 d=1 t=650
ping mu 	屏幕	c=1 d=1 t=1185
ping tai 	平臺	c=1 d=1 t=308
po huai 	破壞	c=1 d=1 t=1435
po jie 	破解	c=6 d=5.12769 t=1485
pu ke 	撲克	c=1 d=1 t=467
pu lai wei te 	普來威特	c=1 d=1 t=214
qi 	其	c=0 d=0.1 t=244
qi 	器	c=1 d=1 t=424
qi dai 	期待	c=0 d=0.1 t=635
qi dai xia wen 	期待下文	c=1 d=1 t=636
qi shi 	其實	c=2 d=1.38772 t=925
qi shi 	騎士	c=2 d=1.38098 t=645
qi shi ni 	其實你	c=1 d=1 t=320
qian le 	錢了	c=1 d=1 t=567
qian mian 	前面	c=1 d=1 t=521
qian pai 	前排	c=1 d=1 t=939
qian tao 	嵌套	c=2 d=1.90937 t=612
qian tao 	潛逃	c=1 d=1 t=592
qian tian 	前天	c=1 d=1 t=654
qian wan 	千萬	c=2 d=1.76338 t=1309
qiang 	強	c=0 d=0.1 t=728
qiang duo le 	強多了	c=1 d=1 t=729
qiang zhi 	強制	c=0 d=0.1 t=296
qiang zhi lei xing zhuan huan 	強制類型轉換	c=1 d=1 t=297
qie huan 	切換	c=2 d=1.03271 t=1101
qing 	請	c=4 d=3.12128 t=1336
qing jiao 	請教	c=1 d=1 t=1395
qing kuang 	情況	c=1 d=1 t=281
qing wen 	請問	c=1 d=1 t=1442
qiong 	窮	c=1 d=1 t=819
qu 	區	c=1 d=1 t=546
qu 	去	c=3 d=1.9138 t=1361
qu 	取	c=1 d=0.878801 t=544
qu an 	去按	c=1 d=1 t=1006
qu diao 	去掉	c=1 d=1 t=507
qu dong 	驅動	c=1 d=1 t=1339
qu fen 	區分	c=1 d=1 t=772
qu guan 	取關	c=1 d=1 t=958
qu mu 	曲目	c=0 d=0.1 t=379
quan 	全	c=0 d=0.1 t=379
quan 	圈	c=1 d=1 t=564
quan jing 	全景	c=0 d=0.1 t=1191
quan jing feng suo 	全景封鎖	c=1 d=1 t=1192
quan pin 	全拼	c=1 d=1 t=649
quan qu mu 	全曲目	c=1 d=1 t=380
que shao 	缺少	c=1 d=1 t=1338
que xian 	缺陷	c=1 d=1 t=163
qun li 	羣裏	c=1 d=1 t=477
qun qi 	羣起	c=1 d=1 t=1062
ran hou 	然後	c=8 d=2.40399 t=1282
rang wo 	讓我	c=1 d=1 t=405
ren 	人	c=7 d=1.72189 t=1285
ren fang qi 	人放棄	c=1 d=1 t=17
ren ge 	人格	c=1 d=1 t=162
ren gong 	人工	c=2 d=1.85642 t=1267
ren gong zhi neng 	人工智能	c=1 d=1 t=1058
ren ke 	認可	c=1 d=1 t=389
ren lei 	人類	c=1 d=1.00188 t=978
ren lei de 	人類的	c=1 d=1 t=184
ren qi 	人氣	c=1 d=1 t=18
ren sheng 	人生	c=1 d=0.109279 t=1103
ren tou 	人頭	c=1 d=1 t=544
reng dao 	扔到	c=1 d=1 t=845
ru guo 	如果	c=3 d=1.24932 t=1315
rui qi 	瑞氣	c=0 d=0.1 t=1488
rui qi yu ding dang 	瑞氣與叮噹	c=1 d=1 t=1489
sai man 	塞滿	c=0 d=0.1 t=284
sai man le 	塞滿了	c=1 d=1 t=285
san ci 	三次	c=0 d=0.1 t=157
san ci yuan 	三次元	c=1 d=1 t=158
san tong you 	三桶油	c=1 d=1 t=524
sang shi 	喪失	c=1 d=1 t=681
sang zi 	嗓子	c=1 d=1 t=1152
sha 	殺	c=1 d=1.099 t=541
sha bi 	傻逼	c=1 d=1 t=629
sha bu si di ren 	殺不死敵人	c=1 d=1 t=540
sha si 	殺死	c=1 d=1 t=500
shang 	上	c=2 d=1.00222 t=1470
shang chuan 	上傳	c=1 d=1 t=127
shang chuan dao 	上傳到	c=1 d=1 t=74
shang de 	上的	c=1 d=1 t=1115
shang di 	上帝	c=1 d=1 t=459
shang ge shi ji 	上個世紀	c=1 d=1 t=100
shang qu 	上去	c=0 d=0.1 t=75
shang qu le 	上去了	c=1 d=1 t=76
shang ren 	傷人	c=0 d=0.1 t=896
she 	射	c=0 d=0.1 t=947
she ding 	設定	c=1 d=1 t=698
she ji 	設計	c=2 d=1.84376 t=857
she ying shi 	攝影師	c=1 d=1 t=126
she ying yi shu 	攝影藝術	c=1 d=1 t=128
she zhi 	設置	c=1 d=1 t=1034
shen 	神	c=0 d=0.1 t=525
shen bu ke ce 	深不可測	c=1 d=1 t=975
shen fen zheng 	身份證	c=1 d=1 t=1108
shen jin 	伸進	c=1 d=1 t=535
shen me 	什麼	c=2 d=0.185712 t=962
shen me shi hou 	什麼時候	c=1 d=1 t=1366
shen me yi si 	什麼意思	c=0 d=0.1 t=973
shen qi 	神奇	c=2 d=1.98511 t=36
shen yu yan 	神預言	c=1 d=1 t=526
shen yuan 	深淵	c=1 d=1 t=65
sheng cheng 	生成	c=1 d=1 t=413
sheng qian 	省錢	c=1 d=1 t=209
sheng wu 	生物	c=2 d=1.99501 t=1305
shi 	是	c=17 d=4.23086 t=1220
shi ba 	是吧	c=1 d=1 t=706
shi bu shi 	是不是	c=0 d=0.1 t=895
shi chui 	實鎚	c=1 d=1 t=1368
shi de 	使得	c=1 d=1 t=324
shi de 	實德	c=1 d=1 t=325
shi de 	是的	c=2 d=1.90032 t=347
shi fen 	十分	c=0 d=0.1 t=741
shi fen wen jing 	十分文靜	c=1 d=1 t=742
shi ge 	是個	c=2 d=1.00892 t=1085
shi jie 	世界	c=1 d=1 t=1
shi liu 	十六	c=1 d=1 t=224
shi liu jin zhi 	十六進制	c=1 d=1 t=226
shi ni 	是你	c=0 d=0.1 t=934
shi pin 	視頻	c=2 d=1.06705 t=1223
shi pin 	食品	c=1 d=1 t=1263
shi shen me 	是什麼	c=1 d=1 t=884
shi shen me yi si 	是什麼意思	c=1 d=1 t=974
shi shi 	事實	c=2 d=1.50916 t=851
shi shuo 	時說	c=0 d=0.1 t=985
shi ti ji 	是體積	c=1 d=1 t=1141
shi wei le 	是爲了	c=1 d=1 t=508
shi zhong 	時鐘	c=1 d=1.01549 t=1353
shou 	受	c=1 d=1 t=330
shou 	收	c=1 d=1 t=565
shou bing 	手柄	c=1 d=1 t=1404
shou cang 	收藏	c=1 d=1 t=1468
shou hu 	守護	c=1 d=1 t=581
shou qian 	收錢	c=1 d=0.712626 t=587
shou qian le 	收錢了	c=2 d=1.99501 t=589
shu 	數	c=0 d=0.1 t=262
shu biao 	鼠標	c=1 d=1 t=42
shu chu 	輸出	c=1 d=1 t=225
shu du 	數度	c=1 d=1 t=352
shu du 	數獨	c=3 d=2.50791 t=412
shu jia 	輸家	c=1 d=1 t=168
shu ju 	數據	c=2 d=1.86377 t=1047
shu ru 	輸入	c=2 d=1.13946 t=1042
shu yu 	屬於	c=0 d=0.1 t=706
shu zu 	數組	c=1 d=1 t=231
shuang 	爽	c=1 d=1 t=1274
shuang 	雙	c=0 d=0.1 t=1101
shuang fen 	爽粉	c=2 d=1.91393 t=1320
shuang pin 	雙拼	c=1 d=1 t=647
shuang xi tong 	雙系統	c=1 d=1 t=1102
shui bei 	水杯	c=1 d=1 t=536
shui si 	誰死	c=1 d=1 t=24
shun jian 	瞬間	c=1 d=1 t=19
shuo 	說	c=3 d=1.05054 t=1240
shuo guo 	說過	c=1 d=1 t=677
shuo hua 	說話	c=2 d=1.96079 t=758
shuo shi hua 	說實話	c=1 d=1 t=717
si 	死	c=1 d=1 t=659
si huo 	死活	c=1 d=1 t=25
si ji 	死機	c=1 d=1 t=1196
si le 	死了	c=0 d=0.1 t=1252
si xia 	私下	c=1 d=1 t=1298
si yu 	死魚	c=0 d=0.1 t=1124
si yu yan 	死魚眼	c=1 d=1 t=1125
song 	送	c=0 d=0.1 t=1066
song gei 	送給	c=1 d=1 t=775
song ka fei 	送咖啡	c=1 d=1 t=1067
song kai 	鬆開	c=2 d=1.79057 t=1044
song ru 	送入	c=3 d=2.56945 t=1046
sou 	搜	c=1 d=1 t=523
su du 	速度	c=1 d=1 t=1448
su duo 	素多	c=1 d=1 t=472
suan fa 	算法	c=3 d=2.14573 t=416
sui 	歲	c=1 d=1 t=916
sui 	遂	c=1 d=1 t=1411
sui dan 	碎蛋	c=1 d=1 t=920
sun 	孫	c=0 d=0.1 t=616
sun mu lu 	孫目錄	c=1 d=1 t=617
suo 	所	c=1 d=1 t=471
suo ni 	索尼	c=1 d=1 t=468
suo xiao 	縮小	c=1 d=1 t=20
suo yi 	所以	c=2 d=1.50409 t=144
ta hui 	他會	c=1 d=1 t=1278
ta li ban 	塔利班	c=1 d=1 t=1118
tai 	太	c=0 d=0.131822 t=1125
tai ban 	臺版	c=1 d=1 t=1465
tai kong 	太空	c=1 d=1 t=1175
tai kuai 	太快	c=1 d=1 t=394
tai shang ren 	太傷人	c=1 d=1 t=897
tai te se 	太特色	c=1 d=1 t=1126
tan lan 	貪婪	c=0 d=0.1 t=839
tao yan 	討厭	c=1 d=1 t=106
te bie 	特別	c=1 d=1 t=8
te gong 	特工	c=2 d=2.04638 t=517
te gong xue yuan 	特工學院	c=1 d=1 t=420
te se 	特色	c=0 d=0.1 t=1125
ti ji 	體積	c=0 d=0.1 t=1140
ti jiao 	提交	c=3 d=2.97025 t=406
tian 	天	c=2 d=1.97045 t=116
tian 	舔	c=1 d=1 t=1452
tian xie 	填寫	c=1 d=1 t=346
tiao jian 	條件	c=1 d=1.09465 t=280
tiao jian pan duan 	條件判斷	c=1 d=1 t=270
tiao jiao 	調教	c=1 d=1 t=720
tiao yin shi 	調音師	c=1 d=1 t=511
ting zhi 	停止	c=1 d=0.898516 t=1044
tong 	同	c=1 d=0.158426 t=1241
tong bu 	同步	c=1 d=1 t=982
tong ling ren 	同齡人	c=1 d=1 t=749
tong shi 	同時	c=1 d=1 t=421
tong wu zhong 	同物種	c=2 d=1.90937 t=1261
tong xin 	通信	c=1 d=1 t=835
tong yi 	統一	c=1 d=1 t=1295
tou ming 	透明	c=1 d=1 t=1188
tou xiang 	頭像	c=1 d=1 t=1088
tou zi 	骰子	c=1 d=1 t=282
tu 	圖	c=1 d=1 t=1092
tu chuang 	圖牀	c=2 d=1.96561 t=75
tu chuang 	禿瘡	c=1 d=1 t=67
tu pian 	圖片	c=1 d=1.08765 t=236
tu xiang 	圖像	c=0 d=0.1 t=1163
tui xiu 	退休	c=1 d=1 t=1158
wa 	哇	c=0 d=0.1 t=39
wan 	玩	c=0 d=0.1 t=1098
wan an 	晚安	c=2 d=1.5975 t=222
wan cheng 	完成	c=1 d=1.00414 t=751
wan cheng le 	完成了	c=1 d=1 t=115
wan jia 	玩家	c=0 d=0.1 t=872
wan ju 	玩具	c=1 d=1 t=790
wan yi xia 	玩一下	c=1 d=1 t=1099
wan zheng 	完整	c=1 d=1 t=495
wang 	王	c=2 d=1.26316 t=370
wang ba 	網吧	c=1 d=1 t=239
wang diao 	忘掉	c=1 d=1 t=848
wang luo 	網絡	c=1 d=1 t=689
wang pai 	王牌	c=1 d=1 t=516
wang shang 	網上	c=1 d=1 t=738
wei 	位	c=0 d=0.1 t=300
wei 	未	c=1 d=1.01307 t=1300
wei 	爲	c=1 d=1 t=1301
wei cheng nian 	未成年	c=1 d=1 t=865
wei de cheng 	未得逞	c=1 d=1 t=894
wei du 	維度	c=2 d=1.05105 t=1195
wei le 	爲了	c=2 d=1.25664 t=507
wei ruan 	微軟	c=1 d=1 t=730
wei sha 	爲啥	c=1 d=1 t=382
wei xin 	微信	c=1 d=1 t=306
wen 	問	c=1 d=1 t=640
wen 	文	c=1 d=1 t=641
wen jian 	文件	c=1 d=1 t=616
wen jian jia 	文件夾	c=1 d=1 t=595
wen jian ming 	文件名	c=1 d=1 t=483
wen jing 	文靜	c=0 d=0.1 t=741
wen ju dian 	文具店	c=2 d=1.99005 t=312
wen yi xia 	問一下	c=1 d=1.00093 t=1414
wen zi 	文字	c=0 d=0.1 t=1089
wen zi jie mian 	文字界面	c=1 d=1 t=1090
wo 	我	c=7 d=1.11199 t=1353
wo ba 	我把	c=1 d=1 t=72
wo bi ni 	我比你	c=1 d=1 t=885
wo bu 	我不	c=0 d=0.1 t=579
wo bu kai 	我不開	c=1 d=1 t=580
wo bu shi 	我不是	c=1 d=1 t=665
wo cong lai mei 	我從來沒	c=1 d=1 t=671
wo cong xiao 	我從小	c=1 d=1 t=755
wo gan jue 	我感覺	c=1 d=1 t=1354
wo gao 	我高	c=1 d=1 t=822
wo hai shi 	我還是	c=0 d=0.1 t=195
wo hai shi xi huan 	我還是喜歡	c=2 d=1.99005 t=198
wo hua le 	我花了	c=1 d=1 t=113
wo huai yi 	我懷疑	c=1 d=1 t=770
wo ji 	沃瘠	c=0 d=0.1 t=1176
wo ji cuo le 	沃瘠錯了	c=1 d=1 t=1177
wo jian tao 	我檢討	c=1 d=1 t=899
wo jiao ni 	我教你	c=1 d=1 t=826
wo jiu 	我就	c=2 d=1.99005 t=403
wo jiu shi 	我就是	c=1 d=1.09501 t=812
wo kan 	我看	c=0 d=0.1 t=662
wo kan le 	我看了	c=1 d=1 t=663
wo ke neng 	我可能	c=1 d=1 t=140
wo men 	我們	c=1 d=1.05316 t=1297
wo men jiu ke yi 	我們就可以	c=1 d=1 t=1012
wo men jiu neng zai 	我們就能在	c=1 d=1 t=1052
wo neng 	我能	c=1 d=1 t=153
wo qu 	我去	c=1 d=1 t=1202
wo shi 	我是	c=3 d=1.00521 t=1447
wo shi bu shi 	我是不是	c=1 d=1 t=896
wo shi ge 	我是個	c=1 d=1 t=160
wo shu yu 	我屬於	c=2 d=1.98511 t=710
wo xiang 	我想	c=0 d=0.1 t=479
wo xiang wen yi xia 	我想問一下	c=1 d=1 t=480
wo yao 	我要	c=0 d=0.1 t=762
wo yao kan 	我要看	c=1 d=1 t=378
wo yao shi 	我要是	c=1 d=1 t=763
wo ye 	我也	c=0 d=0.1 t=911
wo ye xiang 	我也想	c=0 d=0.1 t=1141
wo ye xiang kan 	我也想看	c=1 d=1 t=1142
wo ye xiang yao 	我也想要	c=1 d=1 t=912
wo yi 	我一	c=0 d=0.1 t=951
wo yi ge 	我一個	c=1 d=1 t=875
wo yi jing 	我已經	c=1 d=1 t=680
wo yong 	我用	c=1 d=1 t=646
wo you chu xi 	我有出息	c=1 d=1 t=961
wo you ge 	我有個	c=1 d=1 t=1016
wo zai 	我在	c=1 d=1 t=4
wo zai xiang 	我在想	c=1 d=1 t=926
wo zhe ge ren 	我這個人	c=1 d=1 t=734
wu guan 	無關	c=1 d=1 t=295
wu guang 	無光	c=0 d=0.1 t=292
wu xian 	無線	c=0 d=0.1 t=1008
wu xian 	無限	c=1 d=0.926959 t=1049
wu xian duo 	無線多	c=1 d=1 t=1009
wu xian zhi 	無限只	c=1 d=1 t=1050
wu yi 	巫醫	c=1 d=1 t=1331
wu zhong 	物種	c=0 d=0.1 t=1241
xi 	洗	c=0 d=0.1 t=1369
xi gua 	西瓜	c=3 d=2.03895 t=798
xi guan 	習慣	c=1 d=0.654327 t=290
xi huan 	喜歡	c=0 d=0.1 t=195
xi pai 	洗牌	c=2 d=1.99005 t=466
xi pan 	洗盤	c=1 d=1 t=465
xi tong 	系統	c=1 d=0.172293 t=1101
xi tong shi zhong 	系統時鐘	c=1 d=1 t=981
xi wang 	希望	c=0 d=0.1 t=642
xi wang lou zhu 	希望樓主	c=1 d=1 t=643
xia de 	嚇得	c=0 d=0.1 t=951
xia de wo yi ji ling 	嚇得我一激靈	c=1 d=1 t=952
xia le yi tiao 	嚇了一跳	c=0 d=0.1 t=946
xia mian 	下面	c=0 d=0.1 t=845
xia wen 	下文	c=0 d=0.1 t=635
xia xian 	下限	c=1 d=1 t=268
xia zai 	下載	c=0 d=0.1 t=341
xian dai 	現代	c=1 d=1 t=286
xian dei 	先得	c=1 d=1 t=792
xian mu 	羨慕	c=1 d=1 t=746
xian shi 	現實	c=1 d=1.16988 t=787
xian shi he xu ni 	現實和虛擬	c=1 d=1 t=773
xian shi li 	現實裏	c=1 d=1 t=736
xian zai 	現在	c=2 d=1.08101 t=1289
xiang 	想	c=2 d=1.94176 t=1412
xiang le xiang 	想了想	c=1 d=1 t=1462
xiang shi 	翔實	c=0 d=0.1 t=1475
xiang wan 	想玩	c=1 d=1 t=786
xiang yao 	想要	c=3 d=0.769794 t=911
xiao 	小	c=0 d=0.147001 t=1093
xiao bai 	小白	c=1 d=1 t=1394
xiao ban deng 	小板凳	c=1 d=1 t=943
xiao bing 	小冰	c=1 d=1 t=731
xiao ge ge 	小哥哥	c=1 d=1 t=1454
xiao hai 	小孩	c=1 d=1 t=463
xiao ren 	小人	c=1 d=1 t=928
xiao shi 	小時	c=1 d=1 t=114
xiao shi pin 	小視頻	c=1 d=1 t=1094
xiao si 	笑死	c=0 d=0.1 t=548
xiao si le 	笑死了	c=1 d=1 t=549
xiao xin 	小心	c=1 d=1 t=137
xiao xue sheng 	小學生	c=1 d=1 t=1378
xie xie 	謝謝	c=2 d=1.21119 t=1461
xin 	心	c=1 d=1 t=1211
xin 	新	c=0 d=0.1 t=1205
xin che 	新車	c=1 d=1 t=1214
xin di tu 	新地圖	c=1 d=1 t=1206
xin jian 	新建	c=1 d=1 t=443
xin kou ru yi 	心口如一	c=1 d=1 t=711
xin li 	心裏	c=0 d=0.1 t=824
xing 	星	c=0 d=0.1 t=1489
xing gan 	性感	c=1 d=1 t=1030
xing rong ci 	形容詞	c=1 d=1 t=610
xing wei 	行爲	c=1 d=1 t=893
xiu 	休	c=1 d=1 t=182
xiu xue 	休學	c=1 d=1 t=165
xu hang 	續航	c=2 d=1.99501 t=1194
xu ni 	虛擬	c=0 d=0.1 t=772
xu ni ji 	虛擬機	c=1 d=1 t=1133
xue yuan 	學院	c=1 d=1.06188 t=515
xun zhi 	尋址	c=1 d=1 t=425
ya 	呀	c=3 d=1.46773 t=951
yan 	眼	c=0 d=0.1 t=1124
yan 	顏	c=0 d=0.1 t=947
yan jiu 	研究	c=0 d=0.1 t=1245
yan suan 	演算	c=0 d=0.1 t=1220
yan zhi 	顏值	c=1 d=1 t=804
yan zhong 	嚴重	c=1 d=1 t=169
yao 	藥	c=1 d=1 t=211
yao qi 	妖氣	c=0 d=0.1 t=595
yao qian 	要錢	c=0 d=0.1 t=808
yao xue 	要學	c=0 d=0.1 t=770
yao xue hui 	要學會	c=1 d=1 t=771
yao yi 	要以	c=1 d=1 t=979
ye 	也	c=0 d=0.16985 t=946
ye bi bu shang 	也比不上	c=1 d=1 t=732
ye bu shi 	也不是	c=1 d=1 t=354
ye gai bian bu liu 	也改變不留	c=1 d=1 t=713
ye jiu 	也就	c=0 d=0.1 t=767
ye jiu bu hui 	也就不會	c=1 d=1 t=768
ye mei 	也沒	c=2 d=1.5975 t=805
ye shi 	也是	c=1 d=0.346161 t=971
ye shi yao qian 	也是要錢	c=1 d=1 t=809
ye shi yi ge 	也是一個	c=1 d=1 t=972
ye xia le yi tiao 	也嚇了一跳	c=1 d=1 t=947
ye zhi zhen 	也指針	c=1 d=1 t=275
yi ban 	一般	c=1 d=1 t=492
yi bu dang 	已補檔	c=1 d=1 t=1385
yi chu 	溢出	c=3 d=2.96536 t=234
yi da dui 	一大堆	c=2 d=1.25158 t=1004
yi dong 	移動	c=3 d=2.04819 t=1191
yi ge 	一個	c=4 d=1.02671 t=1019
yi ge jian 	一個鍵	c=1 d=1 t=987
yi ge ren 	一個人	c=1 d=1 t=760
yi hou 	以後	c=1 d=1 t=1355
yi jing 	已經	c=1 d=0.998477 t=1406
yi jing bei 	已經被	c=1 d=1 t=1407
yi lai 	依賴	c=1 d=1 t=444
yi miao 	一秒	c=1 d=1 t=959
yi nian 	一年	c=1 d=1 t=880
yi qiang 	一槍	c=2 d=1.07808 t=1168
yi shi 	以示	c=1 d=1 t=960
yi shu 	藝術	c=1 d=1 t=124
yi si 	意思	c=0 d=0.1 t=371
yi tai 	一臺	c=1 d=1 t=187
yi tian 	一天	c=1 d=0.128448 t=1128
yi wei 	一位	c=1 d=1 t=1327
yi wu 	義烏	c=1 d=1 t=1326
yi xia 	一下	c=1 d=1.05148 t=1396
yi xing 	異星	c=1 d=1 t=1173
yi yang 	一樣	c=3 d=2.80544 t=1137
yi zhi 	一直	c=1 d=1 t=761
yi zhi 	移植	c=1 d=1 t=296
yi zhong 	一種	c=2 d=1.86071 t=1306
yin 	因	c=0 d=0.1 t=356
yin bing 	因病	c=1 d=1 t=171
yin gou 	陰溝	c=1 d=1 t=519
yin wei 	因爲	c=2 d=1.03389 t=1399
yin wei wo jiu shi 	因爲我就是	c=1 d=1 t=813
ying wen 	英文	c=2 d=1.02522 t=1181
yong 	用	c=1 d=1.00111 t=1401
yong fa 	用法	c=1 d=1 t=302
yong le 	永樂	c=1 d=1 t=396
yong le yi tian 	用了一天	c=1 d=1 t=398
you 	又	c=2 d=1.35345 t=1026
you 	有	c=3 d=0.199251 t=841
you chou 	又丑	c=1 d=1 t=817
you chu xi 	有出息	c=0 d=0.1 t=960
you dian 	有點	c=2 d=1.02497 t=1131
you guan 	有關	c=0 d=0.1 t=1245
you guan yan jiu 	有關研究	c=1 d=1 t=1246
you hong 	又紅	c=1 d=1 t=1025
you mei you 	有沒有	c=1 d=1 t=478
you mei zi 	有妹子	c=1 d=1 t=842
you ren 	有人	c=1 d=0.80822 t=763
you ren neng 	有人能	c=1 d=1 t=764
you xi 	遊戲	c=1 d=1 t=104
you yao qi 	有妖氣	c=1 d=1 t=596
you yi 	有一	c=0 d=0.1 t=1018
you yi ge 	有一個	c=2 d=1.68386 t=1095
you yuan tu 	有原圖	c=1 d=1 t=192
yu 	與	c=1 d=0.102491 t=1488
yu chu li 	預處理	c=0 d=0.199501 t=244
yu chu li qi 	預處理其	c=1 d=1 t=245
yu chu li zhi ling 	預處理指令	c=1 d=1 t=244
yu fa 	語法	c=1 d=1 t=34
yu ju 	語句	c=2 d=1.94176 t=283
yu xian 	預先	c=0 d=0.1 t=857
yu xian she ji 	預先設計	c=1 d=1 t=858
yu yan 	語言	c=1 d=1.09656 t=969
yu yan 	預言	c=0 d=0.1 t=525
yuan 	元	c=0 d=0.157984 t=157
yuan cheng 	遠程	c=1 d=1 t=1227
yuan li 	原理	c=1 d=1 t=419
yuan sheng tai 	原生態	c=1 d=1 t=1436
yuan tu 	原圖	c=1 d=1.09802 t=195
yuan yin 	原因	c=1 d=1 t=259
yue 	越	c=0 d=0.1 t=409
yue lai yue 	越來越	c=1 d=1 t=85
yue liao yue shao 	越聊越少	c=1 d=1 t=410
yue shao 	越少	c=0 d=0.1 t=409
yun suan fu 	運算符	c=0 d=0.1 t=260
za jiao 	雜交	c=2 d=1.8781 t=1264
zai 	在	c=4 d=0.290716 t=1415
zai meng li 	在夢裏	c=1 d=1 t=377
zai ni xin li 	在你心裏	c=1 d=1 t=825
zai xian 	在線	c=1 d=1 t=45
zai xiang 	在想	c=0 d=0.1 t=925
zao cheng 	造成	c=1 d=1 t=254
zao jiu 	早就	c=1 d=1 t=317
zen me 	怎麼	c=2 d=1.00445 t=1444
zen me ban 	怎麼辦	c=1 d=1 t=484
zeng 	增	c=0 d=0.1 t=1161
zeng han shu 	增函數	c=1 d=1 t=1162
zha xin 	扎心	c=0 d=0.145612 t=956
zha xin le 	扎心了	c=1 d=1 t=957
zhai diao 	摘掉	c=1 d=1 t=824
zhan 	站	c=1 d=1 t=488
zhan yong 	佔用	c=1 d=1 t=384
zhao 	找	c=2 d=1.27253 t=1049
zhao bu dao 	找不到	c=1 d=1 t=176
zhao dao 	找到	c=1 d=1.0046 t=793
zhao dao le ge 	找到了個	c=1 d=1 t=178
zhao pian 	照片	c=2 d=1.97045 t=1116
zhe 	者	c=2 d=0.283405 t=962
zhe 	這	c=3 d=1.25125 t=563
zhe bu suan 	者不算	c=1 d=1 t=461
zhe bu suan 	這不算	c=1 d=1 t=462
zhe che 	這車	c=1 d=1 t=550
zhe di que 	這的確	c=1 d=1 t=122
zhe ge 	這個	c=6 d=1.71014 t=1218
zhe ge ren 	這個人	c=1 d=0.540432 t=733
zhe ge shi 	這個是	c=1 d=1 t=190
zhe ge shi jie 	這個世界	c=1 d=1 t=782
zhe gua 	這掛	c=1 d=1 t=1369
zhe jiu shi 	這就是	c=2 d=1.00995 t=1373
zhe li shi 	這裏是	c=1 d=1 t=41
zhe me 	這麼	c=0 d=0.10728 t=908
zhe me gao 	這麼搞	c=1 d=1 t=385
